,title,content
43,秋天的怀念,听着收音机里甜美的歌声，我会猛地把手边的东西摔向四周的墙壁。
44,秋天的怀念,这时，母亲就悄悄地躲出去，在我看不见的地方偷偷地注意着我的动静。
45,秋天的怀念,当一切恢复沉寂，她又悄悄地进来，眼圈红红地看着我。
46,秋天的怀念,“听说北海的花儿都开了，我推着你去走走。
48,秋天的怀念,她总是这么说。
49,秋天的怀念,母亲喜欢花，可自从我的腿瘫痪后，她侍养的那些花都死了。
50,秋天的怀念,“不，我不去！
51,秋天的怀念,我狠命地捶打这两条可恨的腿，喊着：“我活着有什么劲！
53,秋天的怀念,母亲扑过来抓住我的手，忍住哭声说：“咱娘儿俩在一块儿，好好儿活，好好儿活……”
54,秋天的怀念,我却一直都不知道，她的病已经到了那步田地。
55,秋天的怀念,后来妹妹告诉我，她的肝常常疼得她整宿整宿翻来覆去地睡不了觉。
56,秋天的怀念,那天我又独自坐在屋里，看着窗外的树叶“刷刷拉拉”
57,秋天的怀念,地飘落。
58,秋天的怀念,母亲进来了，挡在窗前：“北海的菊花开了，我推着你去看看吧。
60,秋天的怀念,她憔悴的脸现出央求般的神色。
61,秋天的怀念,“什么时候？
63,秋天的怀念,“你要是愿意，就明天。
65,秋天的怀念,她说。
66,秋天的怀念,我的回答已经让她喜出望外了。
67,秋天的怀念,“好吧，就明天。
69,秋天的怀念,我说。
70,秋天的怀念,她高兴得一会儿坐下，一会地站起：“那就赶紧准备。
72,秋天的怀念,“唉呀，烦不烦？
73,秋天的怀念,几步路，有什么好准备的！
75,秋天的怀念,她也笑了，坐在我身边，絮絮叨叨地说着：“看完菊花，咱们就去‘仿膳，你小时候最爱吃那儿的豌豆黄儿。
76,秋天的怀念,还记得那回我带你去北海吗？
77,秋天的怀念,你偏说那杨树花是毛毛虫，跑着，一脚踩扁一个……”
78,秋天的怀念,她忽然不说了。
79,秋天的怀念,对于“跑”
80,秋天的怀念,和“踩”
81,秋天的怀念,一类的字眼儿，她比我还敏感。
82,秋天的怀念,她又悄悄地出去了。
83,秋天的怀念,她出去了，就再也没回来。
84,秋天的怀念,邻居们把她抬上车时，她还在大口大口地吐着鲜血。
85,秋天的怀念,我没想到她已经病成这样。
86,秋天的怀念,看着三轮车远去，也绝没有想到那竟是诀别。
87,秋天的怀念,邻居的小伙子背着我去看她的时候，她正艰难地呼吸着。
88,秋天的怀念,别人告诉我，她昏迷前的最后一句话是：“我那个生病的儿子，还有那个还未成年的女儿……”
89,秋天的怀念,又是秋天，妹妹推着我去北海看了菊花。
90,秋天的怀念,黄色的花淡雅，白色的花高洁，紫红色的花热烈而深沉，泼泼洒洒，秋风中正开得烂漫。
91,秋天的怀念,我懂得母亲没有说完的话，妹妹也懂。
92,羚羊木雕,“那只羚羊哪儿去啦?”
93,羚羊木雕,妈妈突然问我。
94,羚羊木雕,妈妈说的羚羊是一件用黑色硬木雕成的工艺品。
95,羚羊木雕,那是爸爸从非洲带回来给我的。
96,羚羊木雕,它一直放在我桌子角上。
97,羚羊木雕,这会儿，我的心怦怦地跳了起来，因为昨天我把它送给了我的好朋友万芳。
98,羚羊木雕,“爸爸不是说给我了吗?”
99,羚羊木雕,我小声地说。
100,羚羊木雕,“我知道给你了，可是现在它在哪儿?”
101,羚羊木雕,妈妈的目光紧紧地盯着我。
102,羚羊木雕,我发现事情不像我想的那么简单。
103,羚羊木雕,“我把它收起来了。
105,羚羊木雕,“放在哪儿了?拿来我看看。
107,羚羊木雕,妈妈好像看出我在撒谎。
108,羚羊木雕,因为我站在那儿一动不动，低着头不敢看她。
109,羚羊木雕,“要说实话……是不是拿出去卖啦?”
110,羚羊木雕,妈妈变得十分严厉。
111,羚羊木雕,“没有卖……我送人了。
113,羚羊木雕,我觉得自己的声音有些发抖。
114,羚羊木雕,“送给谁了?告诉我。
116,羚羊木雕,妈妈把手搭在我的肩膀上。
117,羚羊木雕,“送给万芳了，她是我最好的朋友。
119,羚羊木雕,“你现在就去把它要回来!”
120,羚羊木雕,妈妈坚定地说，“那么贵重的东西怎么能随便送人呢?要不我和你一起去!”
121,羚羊木雕,“不!”
122,羚羊木雕,我哭着喊了起来。
123,羚羊木雕,爸爸走了进来，听妈妈讲完事情的经过，他静静地点燃一支烟，慢慢地对我说：“小朋友之间不是不可以送东西，但是，要看什么样的东西。
124,羚羊木雕,这样贵重的东西不像一块点心一盒糖，怎么能自作主张呢?”
125,羚羊木雕,爸爸的声音一直很平静，不过带着一种不可抗拒的力量。
126,羚羊木雕,“您已经给我了。
128,羚羊木雕,“是的，这是爸爸给你的，可并没有允许你拿去送人啊!”
129,羚羊木雕,我没有理由了。
130,羚羊木雕,我想到他们马上会逼我去向万芳要回羚羊，心里难过极了。
131,羚羊木雕,他们不知道，万芳是个多么仗义的好朋友。
132,羚羊木雕,上幼儿园的时候我们就在一起。
133,羚羊木雕,她学习很好，人一点也不自私。
134,羚羊木雕,我们俩形影不离，语文老师管我俩叫“合二而一”
136,羚羊木雕,上星期一次体育课，我们全班都穿上刚买的新运动衣。
137,羚羊木雕,跳完山羊，我们围着小树逮着玩。
138,羚羊木雕,一不小心，我的裤子被树杈划了一道长长的口子。
139,羚羊木雕,我坐在树底下偷偷地抹眼泪，又心疼裤子，又怕回家挨说。
140,羚羊木雕,万芳也不玩了，坐在我旁边一个劲地叹气。
141,羚羊木雕,忽然，她跳起来拍着屁股说：“咱俩先换过来，我妈是高级裁缝，她能把裤子上的大口子缝得一点儿都看不出来。
143,羚羊木雕,当时，我觉得自己得救了，就把裤子和万芳换了。
144,羚羊木雕,后来，我听说为了这件事，她妈妈让她对着墙壁站了一个钟头。
145,羚羊木雕,“为什么你不说裤子是我的?”
146,羚羊木雕,她嘿嘿地笑着：“我妈是婆婆嘴，她要是知道，早晚也会让你妈知道。
148,羚羊木雕,我要把裤子换过来。
149,羚羊木雕,她却满不在乎地说：“算了吧，反正我已经站了一个钟头，要是再换过来，你还得站两个钟头……”
150,羚羊木雕,直到现在，我身上还穿着她的运动裤。
151,羚羊木雕,每次上体育课，看见她裤子上那条长长的伤疤，我就觉得对不住她。
152,羚羊木雕,昨天，万芳到我家来玩。
153,羚羊木雕,我见她特别喜欢我桌上的羚羊，就拿起来递到她的手上说：“送给你，咱俩永远是好朋友……永远!”
154,羚羊木雕,她也挺激动，从兜里掏出一把弯弯的小藏刀送给我。
155,羚羊木雕,不知什么时候，奶奶站在门口。
156,羚羊木雕,她一定想说什么，可是，她没有说。
157,羚羊木雕,这时，妈妈从柜子里拿出一铁盒糖果对我说：“不是妈妈不懂道理，你把这盒糖送给你的好朋友……那只羚羊，就是爸爸妈妈也舍不得送人啊!”
158,羚羊木雕,我从妈妈的眼睛里看出了羚羊的贵重。
159,羚羊木雕,她和爸爸一起看着我，像是在等待着什么。
160,羚羊木雕,我知道事情已经无可挽回了，眼泪顺着我的脸颊流下来。
161,羚羊木雕,屋子里静极了。
162,羚羊木雕,奶奶突然说：“算了吧，这样多不好。
164,羚羊木雕,妈妈一边递过糖盒一边说：“您不知道那是多么名贵的木雕!”
165,羚羊木雕,我再也受不了了，推开妈妈的糖盒，冒着雨飞快地跑出门去。
166,羚羊木雕,我手里攥着万芳送给我的小刀一路走一路想，叫我怎么说呢?她还会像以前一样和我要好吗?一定不会了。
167,羚羊木雕,我轻轻地敲了敲门。
168,羚羊木雕,门开了，万芳伸出头来，一把拉了我进去。
169,羚羊木雕,“万芳……”
170,羚羊木雕,我站在过道里不肯再往前走。
171,羚羊木雕,“你怎么啦?也不打伞，是不是挨揍了?”
172,羚羊木雕,万芳奇怪地看着我。
173,羚羊木雕,“没有……”
174,羚羊木雕,我慢慢从口袋里掏出小刀，“你能不能把羚羊还我……”
175,羚羊木雕,我几乎听不见自己的声音。
176,羚羊木雕,万芳愣了一下，没有接小刀，只是咬着嘴唇看着我，我垂下眼睛不敢看她。
177,羚羊木雕,“昨天不是说得好好的，你怎么能这样呢?”
178,羚羊木雕,我努力不让自己哭出来。
179,羚羊木雕,这时，她的妈妈从屋里出来了。
180,羚羊木雕,看见我手里的小刀，又看看我们的样子，立刻明白了：“万芳，你是不是拿了人家什么东西?”
181,羚羊木雕,万芳看了我一眼，跑进屋去。
182,羚羊木雕,过了一会儿，她拿着那只羚羊出来了。
183,羚羊木雕,她妈妈接过来一看说：“哎呀!你怎么能拿人家这么贵重的东西呢!”
184,羚羊木雕,她把羚羊递到我的手上，“好好拿着，别难过，看我呆会儿揍她!”
185,羚羊木雕,我把小刀递到她的手上说：“阿姨!羚羊是我送她的，都怪我……”
186,羚羊木雕,当我抬起头来的时候，万芳已经不见了，她不会再跟我好了……我一个人慢慢地走在路上。
187,羚羊木雕,月亮出来了，冷冷的，我不禁打了个寒颤。
188,羚羊木雕,路上一点声音也没有。
189,羚羊木雕,忽然，我听见有人在喊我的名字，我回过头，只见万芳跑了过来。
190,羚羊木雕,她把小刀塞到我的手里说：“你拿着，咱俩还是好朋友……”
191,羚羊木雕,我呆呆地望着她，止不住流下了眼泪。
192,羚羊木雕,我觉得我是世界上最伤心的人!因为我对朋友反悔了。
193,金色花,泰戈尔假如我变成了一朵金色花，为了好玩，长在树的高枝上，笑嘻嘻地在空中摇摆，又在新叶上跳舞，妈妈，你会认识我吗?你要是叫道：“孩子，你在哪里呀?”
194,金色花,我暗暗地在那里匿笑，却一声儿不响。
195,金色花,我要悄悄地开放花瓣儿，看着你工作。
196,金色花,当你沐浴后，湿发披在两肩，穿过金色花的林阴，走到做祷告的小庭院时，你会嗅到这花香，却不知道这香气是从我身上来的。
197,金色花,当你吃过午饭，坐在窗前读《罗摩衍那》，那棵树的阴影落在你的头发与膝上时，我便要将我小小的影子投在你的书页上，正投在你所读的地方。
198,金色花,但是你会猜得出这就是你孩子的小小影子吗？
199,金色花,当你黄昏时拿了灯到牛棚里去，我便要突然地再落到地上来，又成了你的孩子，求你讲故事给我听。
200,金色花,“你到哪里去了，你这坏孩子？
202,金色花,“我不告诉你，妈妈。
204,金色花,这就是你同我那时所要说的话了。
205,荷叶母亲,父亲的朋友送给我们两缸莲花，一缸是红的，一缸是白的，都摆在院子里。
206,荷叶母亲,八年之久，我没有在院子里看莲花了——但故乡的园院里，却有许多；
207,荷叶母亲,不但有并蒂的，还有三蒂的，四蒂的，都是红莲。
208,荷叶母亲,九年前的一个月夜，祖父和我在园里乘凉。
209,荷叶母亲,祖父笑着和我说：“我们园里最初开三蒂莲的时候，正好我们大家庭里添了你们三个姊妹。
210,荷叶母亲,大家都欢喜，说是应了花瑞。
212,荷叶母亲,半夜里听见繁杂的雨声，早起是浓阴的天，我觉得有些烦闷。
213,荷叶母亲,从窗内往外看时，那一朵白莲已经谢了，白瓣儿小船般散飘在水里。
214,荷叶母亲,梗上只留个小小的莲蓬，和几根淡黄色的花须。
215,荷叶母亲,那一朵红莲，昨夜还是菡萏的，今晨却开满了，亭亭地在绿叶中间立着。
216,荷叶母亲,仍是不适意！
217,荷叶母亲,——徘徊了一会子，窗外雷声作了，大雨接着就来，愈下愈大。
218,荷叶母亲,那朵红莲，被那繁密的雨点，打得左右欹斜。
219,荷叶母亲,在无遮蔽的天空之下，我不敢下阶去，也无法可想。
220,荷叶母亲,对屋里母亲唤着，我连忙走过去，坐在母亲旁边——一回头忽然看见红莲旁边的一个大荷叶，慢慢的倾侧了下来，正覆盖在红莲上面……我不宁的心绪散尽了！
221,荷叶母亲,雨势并不减退，红莲却不摇动了。
222,荷叶母亲,雨点不住的打着，只能在那勇敢慈怜的荷叶上面，聚了些流转无力的水珠。
223,荷叶母亲,我心中深深地受了感动——母亲啊！
224,荷叶母亲,你是荷叶，我是红莲，心中的雨点来了，除了你，谁是我在无遮拦天空下的荫蔽？
225,世说新语两则,(1)、《咏雪》课文原文内容谢太傅寒雪日内集，与儿女讲论文义。
226,世说新语两则,俄而雪骤，公欣然曰：“白雪纷纷何所似?”
227,世说新语两则,兄子胡儿曰：“撒盐空中差可拟。
229,世说新语两则,兄女曰：“未若柳絮因风起。
231,世说新语两则,公大笑乐。
232,世说新语两则,即公大兄无奕女，左将军王凝之妻也。
233,世说新语两则,(2)、《陈太丘与友期》课文原文内容陈太丘与友期行，期日中，过中不至，太丘舍去，去后乃至。
234,世说新语两则,元方时年七岁，门外戏。
235,世说新语两则,客问元方：“尊君在不?”
236,世说新语两则,答曰：“待君久不至，已去。
238,世说新语两则,友人便怒：“非人哉!与人期行，相委而去。
240,世说新语两则,元方曰：“君与家君期日中。
241,世说新语两则,日中不至，则是无信；
242,世说新语两则,对子骂父，则是无礼。
244,世说新语两则,友人惭，下车引之，元方入门不顾。
245,世说新语咏雪,谢太傅寒雪日内集，与儿女讲论文义。
246,世说新语咏雪,俄而雪骤，公欣然曰：“白雪纷纷何所似?”
247,世说新语咏雪,兄子胡儿曰：“撒盐空中差可拟。
249,世说新语咏雪,兄女曰：“未若柳絮因风起。
251,世说新语咏雪,公大笑乐。
252,世说新语咏雪,即公大兄无奕女，左将军王凝之妻也。
253,世说新语陈太丘与友期,陈太丘与友期行，期日中，过中不至，太丘舍去，去后乃至。
254,世说新语陈太丘与友期,元方时年七岁，门外戏。
255,世说新语陈太丘与友期,客问元方：“尊君在不?”
256,世说新语陈太丘与友期,答曰：“待君久不至，已去。
258,世说新语陈太丘与友期,友人便怒：“非人哉!与人期行，相委而去。
260,世说新语陈太丘与友期,元方曰：“君与家君期日中。
261,世说新语陈太丘与友期,日中不至，则是无信；
262,世说新语陈太丘与友期,对子骂父，则是无礼。
264,世说新语陈太丘与友期,友人惭，下车引之，元方入门不顾。
265,我的老师,[鄂教版第十册课文]第五单元过去的时光，快乐的童年，都成为美好的记忆。
266,我的老师,敬爱的老师，亲爱的朋友，慈爱的长辈，让我们永远难忘。
267,我的老师,学习本单元课文，抓住印象最深的情景和人物，学习写人叙事的方法。
268,我的老师,13　我的老师最使我难忘的，是我小学时候的女教师蔡芸芝先生。
269,我的老师,现在回想起来，她那时有十八九岁。
270,我的老师,嘴角右边有榆钱大小的一块黑痣。
271,我的老师,在我的记忆里，她是一个温柔美丽的人。
272,我的老师,她从来不打骂我们。
273,我的老师,仅仅有一次，她的教鞭好像要落下来，我用石板一迎，教鞭轻轻地敲在石板边上，大伙笑了，她也笑了。
274,我的老师,我用儿童的狡猾的眼光察觉，她爱我们，并没存心要打的意思。
275,我的老师,在课外的时候，她教我们跳舞，我现在还记得她把我扮成女孩子表演跳舞的情景。
276,我的老师,在假日里，她把我们带到她的家里和朋友的家里。
277,我的老师,在她的朋友的园子里，她还让我们观察蜜蜂；
278,我的老师,也是在那时候，我认识了蜂王，并且平生第一次吃了蜂蜜。
279,我的老师,她爱诗，并且爱用歌唱的音调教我们读诗。
280,我的老师,直到现在我还记得她读诗的音调，还能背诵她教我们的诗：圆天盖着大海，黑水托着孤舟，远看不见山，那天边只有云头，也看不见树，那水上只有海鸥。
281,我的老师,……今天想来，她对我接近文学和爱好文学，有着多么有益的影响！
282,我的老师,像这样的老师，我们怎么会不喜欢她，怎么会不愿意和她亲近呢？
283,我的老师,我们见了她不由得就围上去。
284,我的老师,即使她写字的时候，我们也默默地看着她，连她握铅笔的姿势都急于模仿。
285,我的老师,有一件小事，我不知道还值不值得提它，但回想起来，在那时却占据过我的心灵。
286,我的老师,我父亲那时候在军阀部队里，好几年没有回来，我跟母亲非常牵挂他，不知道他的死活。
287,我的老师,我的母亲常常站在一张褪了色的神像前面焚起香来，把两个有象征记号的字条卷着埋在香炉里，然后磕了头，抽出一个来卜问吉凶。
288,我的老师,我虽不像母亲那样，也略略懂了些事。
289,我的老师,可是在孩子群中，我的那些小“反对派”
290,我的老师,们，常常在我的耳边猛喊：“哎哟哟，你爹回不来了哟，他吃了炮子儿��！
292,我的老师,那时的我，真好像死了父亲似的那么悲伤。
293,我的老师,这时候蔡老师援助了我，批评了我的“反对派”
294,我的老师,们，还写了一封信劝慰我，说我是“心清如水的学生”
296,我的老师,一个老师排除孩子世界里的一件小小的纠纷，是多么平常。
297,我的老师,可是回想起来，那时候我却觉得是给了我莫大的支持！
298,我的老师,在一个孩子的眼睛里，他的老师是多么慈爱，多么公平，多么伟大的人啊！
299,我的老师,每逢放假的时候，我们就更不愿离开她。
300,我的老师,我还记得，放假前我默默地站在她的身边，看她收拾东西的东西。
301,我的老师,蔡老师！
302,我的老师,我不知道你当时是不是觉察，一个孩子站在那里，对你是多么依恋！
303,我的老师,至于暑假，对于一个喜欢他的老师的孩子来说，又是多么的漫长！
304,我的老师,记得在一个夏季的夜里，席子铺在当屋，旁边燃着蚊香，我睡熟了。
305,我的老师,不知道睡了多久，也不知道是夜里的什么时候，我忽然爬起来，迷迷糊糊地往外就走。
306,我的老师,母亲喊住我：“你要去干什么？
308,我的老师,“找蔡老师……”
309,我的老师,我模模糊糊地回答。
310,我的老师,“不是放暑假了么？
312,我的老师,哦，我才醒了。
313,我的老师,看看那块席子，我已经走出六七尺远。
314,我的老师,母亲把我拉回来，劝说了一会，我才睡熟了。
315,我的老师,我是多么想念我的蔡老师啊！
316,我的老师,至今回想起来，我还觉得这是我记忆中的珍宝之一。
317,我的老师,一个孩子的纯真的心，就是那些在热恋中的人们也难比啊！
318,我的老师,什么时候，我能再见一见我的蔡老师呢？
319,我的老师,可惜我没有上完初小，就转到县立五小上学去了，从此，我就和蔡老师分别了。
320,我的老师,________________________本文作者魏巍。
321,我的老师,[长春版电子课文]最使我难忘的，是我小学时候的女教师蔡芸芝先生。
322,我的老师,现在回想起来，她那时有十八九岁。
323,我的老师,右嘴角边有榆饯大小一块黑痣。
324,我的老师,在我的记忆里，她是一个温柔、美丽的人。
325,我的老师,她从来不打骂我们。
326,我的老师,仅仅有一次，她的教鞭好像在落下来，我用石板一迎，教鞭轻轻地敲在石板上，大伙笑了，她也笑了。
327,我的老师,我用儿童的狡猾的眼光察觉，她爱我们，并没存心要打的意思。
328,我的老师,孩子们是多么善于观察这一点啊。
329,我的老师,在课外的时候，她教我们跳舞，我现在还记得她把我扮成女孩子表演跳舞的情景。
330,我的老师,在假日里，她把我们带到家里和女朋友家里。
331,我的老师,在她的女朋友的园子里，她还让我们观察蜜蜂；
332,我的老师,也是在那时候，我认识了蜂王，并且平生第一次吃了蜂蜜。
333,我的老师,她爱诗，并且爱用歌唱的音调教我们读音。
334,我的老师,直到现在我还记得她读诗的音调，还能背诵她教我们的诗：圆天盖着大海，黑水托着孤舟，远看不见山，那天边只有云头，也看不见树，那水上只有海鸥……今天想来，她对我们的接近文学和爱好文学，是有着多么有益的影响！
335,我的老师,像这样的教师我们怎么会不喜欢她？
336,我的老师,怎么会不愿意和她亲近呢？
337,我的老师,我们见了她不由得围上去。
338,我的老师,即使她写字的时候，我们也默默地看着她，连她握笑的姿势都急于模仿。
339,我的老师,有一件小事，我不知道还值不值得提它，但回想起来，在那时却占据过我的心灵。
340,我的老师,我父亲那时候在军阀部队里，好几年没有回来，我和母亲非常牵挂他，不知道他的死活。
341,我的老师,我的母亲常常站在一张褪了色的神像前面焚起香来，把两个象征记号的字条卷着埋在香炉里，然后磕了头，抽出一个来卜问吉凶。
342,我的老师,我虽不像母亲那样，也略略懂了些事。
343,我的老师,可是，在孩子群中，我的那些小“反对派”
344,我的老师,们，常常在我的耳边猛喊：“哎哟哟，你爹回不来了哟，他吃了炮子儿！
346,我的老师,那时的我，真好像死了父亲似的那么悲伤。
347,我的老师,这时候蔡老师安慰了我，批评了我的“反对派”
348,我的老师,们，还写了一封信鼓励我，说我是“心清如水的学生”
350,我的老师,一个老师排除孩子世界里的一件小小的纠纷，是多么平常，可是回想起来，那时候我却觉得是给了我莫大的支持！
351,我的老师,在一个孩子的眼里，他的老师是多么慈爱，多么公平，多么伟大啊。
352,我的老师,每逢放假的时候，我们就更不愿意离开她。
353,我的老师,我还记得，放假前，我默默地站在她的身边，看她收拾这样那样东西的情景。
354,我的老师,蔡老师！
355,我的老师,我不知道你当时是不是觉察，一个孩子站在那里，对你是那么依恋！
356,我的老师,至于暑假，对于一个喜欢他的老师的孩子来说，又是多么漫长！
357,我的老师,记得在一个夏季的夜里，席子铺在当屋，旁边燃着蚊香，迷迷糊糊地往外就走。
358,我的老师,母亲喊住我：“你要去干什么？
360,我的老师,“找蔡老师……”
361,我的老师,我模模糊糊地回答。
362,我的老师,“不是放暑假了么？
364,我的老师,哦，我才醒了。
365,我的老师,看看那块席子，我已经走出六七尺远。
366,我的老师,母亲把我拉回来，劝说了一会，我才睡熟了。
367,我的老师,我是多么想念我的蔡老师啊！
368,我的老师,至今回想起来，我还觉得这是我记忆中的珍宝之一。
369,我的老师,一个孩子纯真的心，就是那些热恋中的人们也难比的啊！
370,我的老师,什么时候，我能再见一见我的蔡老师呢？
371,我的老师,可惜我在原校没上完初小，就转到县立五小上学去了。
372,我的老师,从此，我就和蔡老师分别了。
373,我的老师,[语文Ａ版第十二册课文]2　我的老师①最使我难忘的，是我小学时候的女老师蔡芸芝先生。
374,我的老师,现在回想起来，她那时有十八九岁，右嘴角边有榆钱大小一块黑痣。
375,我的老师,在我的记忆里，她是一个温柔、美丽的人。
376,我的老师,她从来不打骂我们。
377,我的老师,仅仅有一次，她的教鞭好像要落下来，我用石板②一迎，教鞭轻轻地敲在石板边上。
378,我的老师,大伙笑了，她也笑了。
379,我的老师,我用儿童狡猾的眼光察觉，她爱我们，并没存心要打的意思。
380,我的老师,孩子们是多么善于观察这一点哪。
381,我的老师,在课外的时候，她教我们跳舞。
382,我的老师,我现在还记得她把我扮成女孩子表演跳舞的情景。
383,我的老师,在假日里，她把我们带到她家里和女朋友家里。
384,我的老师,在她女朋友的园子里，她还让我们观察蜜蜂；
385,我的老师,也是在那时候，我认识了蜂王，并且平生第一次吃了蜂蜜。
386,我的老师,她爱诗，并且爱用歌唱的音调教我们读诗。
387,我的老师,直到现在我还记得她读诗的音调，还能背诵她教我们的诗：圆天盖着大海，黑水托着孤舟，远看不见山，那天边只有云头，也看不见树，那水上只有海鸥。
388,我的老师,……今天想来，她对我接近文学和爱好文学，有着多么有益的影响！
389,我的老师,像这样的老师，我们怎么会不喜欢她，怎么会不愿意和她亲近呢？
390,我的老师,我们见了她就不由得围上去。
391,我的老师,即使她写字的时候，我们也默默地看着她，连她握笔的姿势都急于模仿。
392,我的老师,有一件小事，我不知道还值不值得提它，但回想起来，在那时却占据过我的心灵。
393,我的老师,我父亲那时候在军阀部队里，好几年没有回来，我跟母亲非常牵挂他，不知道他的死活。
394,我的老师,我的母亲常常站在一张褪了色的神像前面焚起香来，把两个象征记号的字条卷着埋在香炉里，然后磕了头，抽出一个来卜问吉凶。
395,我的老师,我虽不像母亲那样，也略略懂了些事。
396,我的老师,可是在孩子群中，我的那些小“反对派”
397,我的老师,们，常常在我的耳边猛喊：“哎哟哟，你爹回不来了哟，他吃了炮子儿��！
399,我的老师,那时，我真好像父亲死了似的那么悲伤。
400,我的老师,这时候蔡老师援助了我，批评了我的“反对派”
401,我的老师,们，还写了一封信劝慰我，说我是“心清如水的学生”
403,我的老师,一个老师排除孩子世界里一件小小的纠纷，是多么平常；
404,我的老师,可是回想起来，那时候我却觉得她给了我莫大的支持！
405,我的老师,在一个孩子的眼睛里，他的老师是多么慈爱、多么公平、多么伟大的人哪。
406,我的老师,每逢放假的时候，我们就更不愿离开她。
407,我的老师,我还记得，放假前我默默地站在她的身边，看她收拾这样那样的东西。
408,我的老师,蔡老师！
409,我的老师,我不知道你当时是不是觉察，一个孩子站在那里，对你那么依恋！
410,我的老师,至于暑假，对于一个喜欢老师的孩子来说，又是多么漫长！
411,我的老师,记得在一个夏季的夜里，席子铺在当屋，旁边燃着蚊香，我睡熟了。
412,我的老师,不知道睡了多久，也不知道是夜里时候时辰，我忽然爬起来，迷迷糊糊地往外就走。
413,我的老师,母亲喊住我：“你干什么去？
415,我的老师,“找蔡老师……”
416,我的老师,我模模糊糊地回答。
417,我的老师,“不是放暑假了吗？
419,我的老师,哦，我这才醒了。
420,我的老师,看看那块席子，我已经走出六七尺远。
421,我的老师,母亲把我拉回来，劝说了一会，我才睡熟了。
422,我的老师,我是多么想念我的蔡老师啊！
423,我的老师,至今回想起来，还觉得这是我记忆中的珍宝。
424,我的老师,________________________①本文作者魏巍（wèi wēi）。
425,我的老师,文字有改动。
426,我的老师,②[石板]一种用板岩制作的文具，可用石笔在上面写字。
427,再塑生命,《再塑生命》我记得在我一生中最重要的一天，就是安妮·莎利文老师来到我身边的那一天——1887年3月3日。
428,再塑生命,在那激动人心的下午，从母亲示意的动作以及人们进进出出地忙个不停的迹象中，我猜到会有不寻常的事发生在我们家里。
429,再塑生命,我走到大门边，坐在石阶上等待。
430,再塑生命,温暖的阳光照在我的脸上，我的手指触到鲜花的叶子，我意识到春天的来临。
431,再塑生命,我一连好几个星期内心感到纳闷和痛苦，感到疲倦和寂寞。
432,再塑生命,我不能预测未来将带给我什么。
433,再塑生命,我感到有人朝我走来，我以为是我母亲，我就把手伸出去。
434,再塑生命,忽然，有一个人拉着我的手，然后把我紧紧搂在怀里。
435,再塑生命,就是这个人在我以后的生活中深深地爱着我，向我揭示了一切。
436,再塑生命,第二天早晨，莎利文老师带我到她的房间，给我一个洋娃娃。
437,再塑生命,我玩了一会儿以后，她慢慢地在我手上拼了四个字母“d－O－l－l”
438,再塑生命,（洋娃娃）。
439,再塑生命,这种用手指拼字的方式使我很感兴趣。
440,再塑生命,我不断模仿老师的做法，后来我也学会了拼字，我感到很自豪。
441,再塑生命,一天，我在玩一个新洋娃娃时，老师给我拿来旧洋娃娃，以此表明两样东西都可用“洋娃娃”
442,再塑生命,这个字来表示。
